Event Description,Year,outage_start_date,power_supplier,location,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,duration,state,outage_type
Public Appeal to Reduce Electricity Usage,2014,2/7/2014,American Electric Power,Texas,TRE,Unknown,Unknown,public appeal,3.6666666666666665,Texas,Public Appeal
Public Appeal to Reduce Electricity Usage,2014,2/7/2014,ERCOT,Texas,TRE,Unknown,Unknown,public appeal,16.5,Texas,Public Appeal
Fuel Supply Emergency - Natural Gas,2014,2/6/2014,California ISO,California,WECC,"4,000",Unknown,"fuel supply emergency, natural gas",9.0,California,Fuel Supply Emergency
Public Appeal to Reduce Electricity Usage,2014,2/6/2014,American Electric Power,Texas,TRE,Unknown,Unknown,public appeal,6.7,Texas,Public Appeal
Fuel Supply Emergency - Natural Gas,2014,2/6/2014,Southern California Edison,California,WECC,611,Unknown,"fuel supply emergency, natural gas",5.4,California,Fuel Supply Emergency
Fuel Supply Emergency - Natural Gas,2014,2/6/2014,Pacific Gas & Electric Co,California,WECC,160,Unknown,"fuel supply emergency, natural gas",6.166666666666667,California,Fuel Supply Emergency
Public Appeal to Reduce Electricity Usage,2014,2/6/2014,ERCOT,Texas,TRE,Unknown,Unknown,public appeal,19.916666666666668,Texas,Public Appeal
Severe Weather - Snow/Ice,2014,2/5/2014,FirstEnergy Corp: Met-Ed,Pennsylvania,RFC,Unknown,"144,000","severe weather, winter storm",115.66666666666667,Pennsylvania,Severe Weather
Severe Weather - Snow/Ice,2014,2/5/2014,FirstEnergy Corp: Potomac Edison,Virginia,RFC,Unknown,"101,580","severe weather, winter storm",102.0,Virginia,Severe Weather
Severe Weather - Ice,2014,2/5/2014,Baltimore Gas & Electric Company,Maryland,RFC,800,"181,000","severe weather, winter storm",0.016666666666666666,Maryland,Severe Weather
Severe Weather - Snow/Ice,2014,2/5/2014,Exelon Corporation/PECO,Pennsylvania,RFC,Unknown,"715,000","severe weather, winter storm",0.016666666666666666,Pennsylvania,Severe Weather
